(node:10472) [MODULE_TYPELESS_PACKAGE_JSON] Warning: Module type of file:///C:/lwrpc-league-system/lwrpc-admin/app/lib/aiEligibilityService.js is not specified and it doesn't parse as CommonJS.
Reparsing as ES module because module syntax was detected. This incurs a performance overhead.
To eliminate this warning, add "type": "module" to C:\lwrpc-league-system\lwrpc-admin\package.json.
(Use `node --trace-warnings ...` to show where the warning was created)
▲ Next.js 16.2.4 (webpack)
- Local:         http://localhost:3086
- Network:       http://192.168.4.44:3086
✓ Ready in 1625ms

○ Compiling /view-as-test ...
 GET /view-as-test?member=8 200 in 6.2s (next.js: 5.7s, proxy.ts: 187ms, application-code: 286ms)
 GET /api/system-settings 200 in 24ms (next.js: 7ms, proxy.ts: 10ms, application-code: 7ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1159ms (next.js: 1102ms, proxy.ts: 6ms, application-code: 50ms)
 GET /api/system-settings 200 in 32ms (next.js: 4ms, proxy.ts: 14ms, application-code: 15ms)
 GET /api/system-settings 200 in 34ms (next.js: 13ms, proxy.ts: 14ms, application-code: 8ms)
 GET /api/system-settings 200 in 31ms (next.js: 4ms, proxy.ts: 13ms, application-code: 14ms)
 GET /api/system-settings 200 in 33ms (next.js: 13ms, proxy.ts: 13ms, application-code: 8ms)
 GET /standings 200 in 54ms (next.js: 3ms, proxy.ts: 8ms, application-code: 43ms)
 GET /api/system-settings 200 in 31ms (next.js: 4ms, proxy.ts: 12ms, application-code: 15ms)
 GET /api/system-settings 200 in 34ms (next.js: 10ms, proxy.ts: 12ms, application-code: 12ms)
 GET /api/system-settings 200 in 27ms (next.js: 5ms, proxy.ts: 9ms, application-code: 13ms)
 GET /api/system-settings 200 in 31ms (next.js: 10ms, proxy.ts: 9ms, application-code: 12ms)
 GET /matches 307 in 56ms (next.js: 2ms, proxy.ts: 5ms, application-code: 49ms)
 GET /scoring 200 in 63ms (next.js: 3ms, proxy.ts: 6ms, application-code: 55ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /api/system-settings 200 in 34ms (next.js: 3ms, proxy.ts: 12ms, application-code: 19ms)
 GET /api/system-settings 200 in 37ms (next.js: 11ms, proxy.ts: 12ms, application-code: 14ms)
 GET /api/system-settings 200 in 41ms (next.js: 17ms, proxy.ts: 12ms, application-code: 13ms)
 GET /captain-dashboard 200 in 40ms (next.js: 8ms, proxy.ts: 9ms, application-code: 22ms)
 GET /api/system-settings 200 in 165ms (next.js: 16ms, proxy.ts: 26ms, application-code: 123ms)
 GET /api/system-settings 200 in 168ms (next.js: 8ms, proxy.ts: 141ms, application-code: 19ms)
 GET /api/system-settings 200 in 174ms (next.js: 11ms, proxy.ts: 143ms, application-code: 19ms)
 GET /view-as-test?member=1&target=1 200 in 57ms (next.js: 4ms, proxy.ts: 6ms, application-code: 47ms)
 GET /api/system-settings 200 in 31ms (next.js: 4ms, proxy.ts: 10ms, application-code: 16ms)
 GET /api/system-settings 200 in 33ms (next.js: 12ms, proxy.ts: 10ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 45ms (next.js: 1269µs, proxy.ts: 28ms, application-code: 15ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 403 in 47ms (next.js: 8ms, proxy.ts: 28ms, application-code: 11ms)
 GET /player-dashboard 200 in 116ms (next.js: 52ms, proxy.ts: 6ms, application-code: 58ms)
 GET /api/system-settings 200 in 26ms (next.js: 5ms, proxy.ts: 8ms, application-code: 12ms)
 GET /api/system-settings 200 in 30ms (next.js: 11ms, proxy.ts: 8ms, application-code: 11ms)
 GET /teams/10000000-0000-4000-8000-000000000030 200 in 1152ms (next.js: 1102ms, proxy.ts: 8ms, application-code: 42ms)
 GET /api/system-settings 200 in 48ms (next.js: 5ms, proxy.ts: 18ms, application-code: 25ms)
 GET /api/system-settings 200 in 55ms (next.js: 18ms, proxy.ts: 18ms, application-code: 20ms)
 GET /player-dashboard 200 in 60ms (next.js: 7ms, proxy.ts: 23ms, application-code: 29ms)
 GET /api/system-settings 200 in 33ms (next.js: 3ms, proxy.ts: 18ms, application-code: 12ms)
 GET /standings 200 in 122ms (next.js: 9ms, proxy.ts: 22ms, application-code: 91ms)
 GET /api/system-settings 200 in 31ms (next.js: 3ms, proxy.ts: 12ms, application-code: 15ms)
 GET /api/system-settings 200 in 33ms (next.js: 12ms, proxy.ts: 12ms, application-code: 9ms)
 GET /api/system-settings 200 in 33ms (next.js: 5ms, proxy.ts: 11ms, application-code: 17ms)
 GET /api/system-settings 200 in 35ms (next.js: 16ms, proxy.ts: 11ms, application-code: 8ms)
 GET /matches 307 in 63ms (next.js: 5ms, proxy.ts: 5ms, application-code: 52ms)
 GET /scoring 200 in 50ms (next.js: 3ms, proxy.ts: 6ms, application-code: 42ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /api/system-settings 200 in 83ms (next.js: 9ms, proxy.ts: 13ms, application-code: 61ms)
 GET /api/system-settings 200 in 87ms (next.js: 53ms, proxy.ts: 13ms, application-code: 21ms)
 GET /api/system-settings 200 in 95ms (next.js: 62ms, proxy.ts: 13ms, application-code: 20ms)
 GET /player-dashboard 200 in 75ms (next.js: 6ms, proxy.ts: 46ms, application-code: 23ms)
 GET /api/system-settings 200 in 29ms (next.js: 5ms, proxy.ts: 16ms, application-code: 8ms)
 GET /player-dashboard 200 in 51ms (next.js: 4ms, proxy.ts: 9ms, application-code: 38ms)
 GET /api/system-settings 200 in 32ms (next.js: 4ms, proxy.ts: 17ms, application-code: 11ms)
 GET /api/system-settings 200 in 36ms (next.js: 10ms, proxy.ts: 17ms, application-code: 9ms)
ai_quality_capture {
  event: 'capture_failed',
  stage: 'persistence',
  assistant_version: 'LMS-0729',
  time: '2026-09-09T22:29:54.284Z',
  operation: 'capture_ai_quality',
  correlation_id: 'afe16b63-4b90-444e-bb9c-74e97405e5c4',
  origin: 'player_interface',
  result_shape: 'answer',
  evidence_count: 0,
  reason: 'RPC_FAILED',
  sqlstate: null,
  attempt: 1,
  duration_ms: 3,
  commit_status: 'UNKNOWN',
  payload_bytes: 721,
  metadata_count: 4,
  reference_count: 0,
  timings: {
    build_ms: 0,
    invocation_start_ms: 0,
    rpc_ms: 2,
    acknowledgement_ms: null,
    deadline_ms: null,
    reconciliation_ms: 0,
    retry_ms: 0,
    total_ms: 3
  }
}
 POST /api/ask-lwr 200 in 105ms (next.js: 71ms, proxy.ts: 6ms, application-code: 28ms)
ai_quality_capture {
  event: 'capture_failed',
  stage: 'persistence',
  assistant_version: 'LMS-0729',
  time: '2026-09-09T22:29:54.952Z',
  operation: 'capture_ai_quality',
  correlation_id: '793501e6-fb1d-4f3f-9ac8-ea09683d8512',
  origin: 'player_interface',
  result_shape: 'protected',
  evidence_count: 0,
  reason: 'RPC_FAILED',
  sqlstate: null,
  attempt: 1,
  duration_ms: 2,
  commit_status: 'UNKNOWN',
  payload_bytes: 749,
  metadata_count: 4,
  reference_count: 0,
  timings: {
    build_ms: 0,
    invocation_start_ms: 0,
    rpc_ms: 2,
    acknowledgement_ms: null,
    deadline_ms: null,
    reconciliation_ms: 0,
    retry_ms: 0,
    total_ms: 2
  }
}
 POST /api/ask-lwr 200 in 23ms (next.js: 1974µs, proxy.ts: 6ms, application-code: 15ms)
 GET /view-as-test?member=8&target=1 200 in 51ms (next.js: 2ms, proxy.ts: 5ms, application-code: 43ms)
 GET /api/system-settings 200 in 42ms (next.js: 5ms, proxy.ts: 16ms, application-code: 21ms)
 GET /api/system-settings 200 in 44ms (next.js: 18ms, proxy.ts: 16ms, application-code: 11ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 53ms (next.js: 11ms, proxy.ts: 31ms, application-code: 11ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 58ms (next.js: 2ms, proxy.ts: 31ms, application-code: 25ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 1149ms (next.js: 1088ms, proxy.ts: 6ms, application-code: 55ms)
 GET /api/system-settings 200 in 26ms (next.js: 5ms, proxy.ts: 9ms, application-code: 12ms)
 GET /api/system-settings 200 in 32ms (next.js: 12ms, proxy.ts: 9ms, application-code: 10ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000001 200 in 18ms (next.js: 2ms, proxy.ts: 5ms, application-code: 11ms)
 GET /api/system-settings 200 in 35ms (next.js: 6ms, proxy.ts: 15ms, application-code: 14ms)
 GET /api/system-settings 200 in 37ms (next.js: 12ms, proxy.ts: 15ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 44ms (next.js: 3ms, proxy.ts: 29ms, application-code: 12ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 30ms (next.js: 4ms, proxy.ts: 15ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 18ms (next.js: 1766µs, proxy.ts: 5ms, application-code: 11ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 16ms (next.js: 3ms, proxy.ts: 5ms, application-code: 8ms)
 GET / 200 in 1854ms (next.js: 1641ms, proxy.ts: 8ms, application-code: 205ms)
 GET /view-as-test?member=8 200 in 1689ms (next.js: 40ms, proxy.ts: 7ms, application-code: 1642ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 1690ms (next.js: 1245ms, proxy.ts: 96ms, application-code: 348ms)
 POST /api/view-as/bootstrap 200 in 3.4s (next.js: 3.4s, proxy.ts: 42ms, application-code: 15ms)
 GET /api/system-settings 200 in 311ms (next.js: 41ms, proxy.ts: 190ms, application-code: 80ms)
 GET /api/system-settings 200 in 319ms (next.js: 79ms, proxy.ts: 190ms, application-code: 50ms)
 GET /api/system-settings 200 in 324ms (next.js: 86ms, proxy.ts: 190ms, application-code: 48ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 348ms (next.js: 59ms, proxy.ts: 190ms, application-code: 98ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000002 200 in 350ms (next.js: 72ms, proxy.ts: 190ms, application-code: 87ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000001 200 in 364ms (next.js: 98ms, proxy.ts: 190ms, application-code: 75ms)
 GET /api/system-settings 200 in 44ms (next.js: 8ms, proxy.ts: 26ms, application-code: 10ms)
 GET / 200 in 635ms (next.js: 135ms, proxy.ts: 16ms, application-code: 484ms)
 GET /api/system-settings 200 in 37ms (next.js: 9ms, proxy.ts: 16ms, application-code: 13ms)
 GET /api/system-settings 200 in 41ms (next.js: 15ms, proxy.ts: 16ms, application-code: 11ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 60ms (next.js: 24ms, proxy.ts: 14ms, application-code: 22ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 60ms (next.js: 9ms, proxy.ts: 37ms, application-code: 14ms)
 POST /api/view-as/bootstrap 200 in 13ms (next.js: 2ms, proxy.ts: 7ms, application-code: 3ms)
 GET /view-as-test?member=8&target=1 200 in 198ms (next.js: 65ms, proxy.ts: 16ms, application-code: 117ms)
 GET /api/system-settings 200 in 37ms (next.js: 5ms, proxy.ts: 9ms, application-code: 23ms)
 GET /api/system-settings 200 in 44ms (next.js: 14ms, proxy.ts: 9ms, application-code: 21ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 50ms (next.js: 10ms, proxy.ts: 26ms, application-code: 14ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 52ms (next.js: 3ms, proxy.ts: 26ms, application-code: 22ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 1448ms (next.js: 1162ms, proxy.ts: 7ms, application-code: 279ms)
 GET /api/system-settings 200 in 69ms (next.js: 5ms, proxy.ts: 47ms, application-code: 18ms)
 GET /api/system-settings 200 in 72ms (next.js: 11ms, proxy.ts: 47ms, application-code: 14ms)
 GET /api/admin/member-last-login?memberId=10000000-0000-4000-8000-000000000001 200 in 25ms (next.js: 4ms, proxy.ts: 13ms, application-code: 8ms)
 GET /api/system-settings 200 in 21ms (next.js: 1973µs, proxy.ts: 6ms, application-code: 13ms)
 GET /api/system-settings 200 in 23ms (next.js: 8ms, proxy.ts: 6ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 31ms (next.js: 2ms, proxy.ts: 7ms, application-code: 21ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 28ms (next.js: 3ms, proxy.ts: 12ms, application-code: 12ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 17ms (next.js: 2ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/view-as/start?target=10000000-0000-4000-8000-000000000001 200 in 17ms (next.js: 1804µs, proxy.ts: 5ms, application-code: 10ms)
 GET / 200 in 55ms (next.js: 4ms, proxy.ts: 7ms, application-code: 44ms)
 POST /api/view-as/bootstrap 200 in 15ms (next.js: 4ms, proxy.ts: 7ms, application-code: 4ms)
 POST /api/view-as/start 200 in 25ms (next.js: 1912µs, proxy.ts: 6ms, application-code: 16ms)
 POST /api/view-as/exchange 200 in 1224ms (next.js: 1166ms, proxy.ts: 6ms, application-code: 51ms)
 POST /api/view-as/read 200 in 1599ms (next.js: 1560ms, proxy.ts: 8ms, application-code: 31ms)
 POST /api/view-as/read 200 in 64ms (next.js: 2ms, proxy.ts: 9ms, application-code: 53ms)
 POST /api/view-as/read 503 in 108ms (next.js: 2ms, proxy.ts: 5ms, application-code: 100ms)
[browser] Image with src "https://lwrpickleballclub.com/lwrpc-logo.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 GET /player-dashboard 200 in 157ms (next.js: 86ms, proxy.ts: 13ms, application-code: 58ms)
[browser] Image with src "http://127.0.0.1:3086/website-emblem.png" has either width or height modified, but not the other. If you use CSS to change the size of your image, also include the styles 'width: "auto"' or 'height: "auto"' to maintain the aspect ratio.
 POST /api/view-as/read 200 in 66ms (next.js: 3ms, proxy.ts: 7ms, application-code: 56ms)
 POST /api/view-as/read 200 in 29ms (next.js: 2ms, proxy.ts: 5ms, application-code: 22ms)
 GET /members/10000000-0000-4000-8000-000000000001 200 in 1514ms (next.js: 1140ms, proxy.ts: 5ms, application-code: 369ms)
